Entry,Reviewer,Reviewer company,Overall rating,Ease-of-use,Customer support,Functionality,Value for money,Review title,Review summary,Review pros,Review cons
Dundas BI Reviews,Gunder,Ennova,4.5,4.5,4.0,5.0,,Intuitive and flexible,,"It is very eays to setup connection to data and build your first metric. The scripting engine is very strong, so you can practically do anything you like with your dashboard. We use Dundas BI to our customers and here it is a really relevant that Dundas offers a multi-tenancy license.","There are some export features, but the export to PowerPoint is missing some features like export to multiple slides."
Dundas BI Reviews,Ray,IT,5.0,5.0,5.0,5.0,5.0,Powerful and flexible BI solution,,Dundas BI has quick responsive support team to seek for development help; plenty of very nice looking visual components; Powerful tool with many features to quickly build up reports. Mobile device friendly   ,"lacking of mature version control no source code visibility to do versions comparison on report, data cube, hierarchy etc lengthy  click click and click on the UI many hidden tricks to learn bound to MS platform need more detailed api document with advanced  usages and samples "
Dundas BI Reviews,David,Activeo,5.0,5.0,5.0,5.0,,Dundas Review,,"Product :   Dundas BI has a very friendly interface and in the same time offers advanced features that help us adding Analytics Layer to our reporting projects.  Vendor :   Special Thanks to presale and partner teams for their help and patience.  As a Partner, we received a toolkit including licenses, training a pre sale material.  ",I would have like getting more detailed information / training about the R analytic engine.
Dundas BI Reviews,David,E-Tabs,5.0,3.0,5.0,5.0,,Dundas allows you to display your data exactly as you want.,,"The platform is so powerful and versatile. Using the GUI you can do a ton of stuff, add in the programming and customization and anything is possible Customer support and community is superb. Works on any HTML5 device and integrates with any other platform","With the complexity comes a steep learning curve, and all the options make it difficult to choose the best fit for each case. I'm just starting out so perhaps it gets easier with experience."
Dundas BI Reviews,Andre,Open Media Platform,5.0,5.0,5.0,,,Visual BI,"Scalable embedded BI platform that enables any user to run data and make faster business decisions. Such ease of running analytics and creating visualizations, dashboards and reports. Dundas BI combines the best of visual BI and analytics in one platform, accessible anywhere at any time, I love it!",,
Dundas BI Reviews,Rebecca,Agri Service,3.0,1.0,5.0,3.0,4.0,Dundas Preview,,"Reliability of Information The data cubes are a nice feature, it was really easily to put together and save for multiple uses.  Great Customer Service- even though it took longer to understand their support team was great and was able to help us understand the system at a much faster rate then self learning. ","If you are not used to windows than it takes time to navigate. It's been a challenge learning it and having to spend time training, with other software it can be easier initially. At first it crashed my computer multiple times when trying to look at the data which included a screen black out. As long as I didn't pull too much in at one time it would work fine."
Dundas BI Reviews,Kris,Center6,5.0,4.0,5.0,,,Dundas BI,"While there is a bit of a learning curve with Dundas BI, the software is extremely powerful and flexible.  The Dundas BI support team is great at helping clients get through the initial educational process and provides outstanding customer service.",,
Dundas BI Reviews,Divya,NTT DATA,3.5,3.5,3.5,3.5,4.0,We did not install this product. Where only evaluating,,Visualizations and intuitive experience are very good.,This is a relatively costly product so you will need to revisit your budgets
Dundas BI Reviews,Shivakant,Micro Focus,4.0,4.0,3.0,4.0,3.0,It's Versatile Platform, Dundas is over all for us the best BI tool ,"Very smooth visualization, easy to deploy, easy to expand, inbuilt R and python support, data cubes, customer support is top notch.","The cons of this software is No Linux platform support, in our telecom world Linux is a must when playing with the biggest players."
Dundas BI Reviews,Mark,Tenaska Power Services,4.0,4.0,5.0,4.0,,Solid Performer,,The ease of use is fantastic.  New users can have a dashboard up and running in minutes but it still offers the depth required to create custom visualizations and interactions.,Sometimes the controls can be frustrating to access with lesser-used settings that are buried several menus deep.
Dundas BI Reviews,Lori,ISI,4.5,4.0,,4.5,,Powerful visualizations at a cost effective price,,"The software is very flexible and has a variety of options to choose from when building dashboards.  The Dundas Team is professional, responsive and easy to work with.",It would be beneficial if there was a technical rep in the DFW area.
Dundas BI Reviews,DS,Biobee stores,5.0,5.0,,5.0,,Powerful software,,A very good visualization software.  The user interface is very good. very flexible dashboard. ,3D option is not available. having the lot of options makes the process little slow but this can be avoided by upgrading the system.
Dundas BI Reviews,Shachar,radcom,5.0,5.0,5.0,5.0,5.0,Dundas BI in the telecom world,,"Very flexible and innovative, HTML5 web based support and easy to learn and use. great support team also ","No Linux platform support, in our telecom world Linux is a must when playing with the biggest players"
Dundas BI Reviews,Richard,Devon Partnership NHS Trust,5.0,4.0,5.0,5.0,4.0,A very powerful and highly customisable data visualisation tool,,"The tool allows you to display your data in any way you like. Almost anything can be customised, and the interactions (both built in and through scripting) really make the difference. The support is also excellent!","There’s so much customisation available, it takes a little while to get use to all the options available, and where they are."
Dundas BI Reviews,Rony,Devon NHS,5.0,5.0,5.0,5.0,,Outstanding data visualisation platform!,,"Product: Truly flexible, dynamic, and easy to use visualisation product. We have reviewed many that are available on the market, but Dundas stands out because of the stunning aesthetics, responsive and touch-enabled interface and highly robust deployment capabilities.     Vendor: I can not fault the customer service, it is one the best that I have ever come across. For this reason in particular, I'd highly recommend Dundas to anyone without a doubt.",Nothing to add here - very happy with the service provided and the Dundas BI solution.
Dundas BI Reviews,Helge,ITSCare,5.0,5.0,5.0,5.0,5.0,Highly customizable BI software with awesome features and visualisations,We tried out many BI tools but Dundas is over all for us the best BI tool on the marked.,You can customize everything. Ease to use. Pixel perfect visualisations. Great support. Massive out-of-the-box capabilities.,The collaboration functionalities could be better. A function to send messages to other users for example would be create.
Dundas BI Reviews,Richard,CAMH,5.0,5.0,4.0,4.0,5.0,Dundas BI Review,"We implemented Dundas BI a year ago and have found it to be extremely easy to use, and rich in features.  It has really helped to transform our BI Solutions",I think we like the ease of use the best but also its flexibility and customization capabilities,There are times when the web app is a bit buggy for developers but not often
Dundas BI Reviews,eldad,Telecommunications,3.0,1.0,4.0,4.0,2.0,small company big headache,"when you are dealing with a small company one would expect better customer experience, well forget it","it have almost everything : reports, rich dashboards  and api's","there app is so complex no one wants to use the self service  nothing is simple, you need to click 5 times in 5 places for sorting a table and that is due to there use of matrix and cubes "
